pm25	pm10	no2	co	temperature_c	humidity_pct	wind_speed_mps	aqi
19.8	36.3	24.4	0.51	18.4	60	3.1	39
6.8	14.5	50.3	3.88	-1.7	76	24.1	0
21.6	36.5	93.2	0.33	18.0	57	7.0	68
20.8	50.2	113.0	3.62	32.0	91	22.7	59
12.6	24.8	54.1	4.56	37.6	27	10.3	40
68.6	125.2	94.0	1.8	-0.2	93	9.6	167
18.5	41.9	59.1	0.6	23.4	82	17.5	25
54.9	83.2	39.0	1.24	20.6	23	0.2	129
7.9	15.3	90.0	2.86	35.1	67	8.5	39
14.6	27.1	96.8	4.72	28.8	71	7.6	63
9.8	18.0	28.3	2.61	38.4	57	21.7	0
18.1	33.3	40.1	0.65	38.2	24	13.2	28
8.0	12.3	61.9	3.18	5.2	89	9.1	36
19.5	32.2	26.5	3.69	27.6	43	6.7	54
15.9	26.1	111.8	2.03	18.9	36	14.8	44
11.3	28.1	73.0	3.64	4.7	45	3.8	51
30.7	46.7	18.9	1.69	3.8	22	6.2	58
80.4	134.0	26.2	3.97	-1.4	21	7.3	170
10.8	26.7	114.8	1.77	30.8	21	15.2	46
36.1	76.8	89.9	1.35	9.6	41	9.3	94
38.9	75.9	89.5	4.41	33.6	90	12.6	109
22.2	35.0	13.3	2.79	22.4	23	16.3	27
62.0	134.5	108.0	1.5	25.3	57	23.9	135
89.8	147.1	56.0	4.68	8.1	89	19.1	186
16.2	35.2	80.9	3.49	15.6	92	10.1	70
31.3	77.6	115.4	1.18	13.6	71	18.7	77
32.1	65.2	16.5	3.11	5.6	50	23.7	49
17.9	30.7	60.5	4.36	32.5	45	12.5	53
14.5	30.8	10.7	3.51	23.0	55	10.3	30
72.9	146.7	62.4	1.3	-3.3	45	2.0	179
44.0	89.5	34.0	3.28	31.9	47	22.3	81
8.0	15.8	109.8	3.13	-0.2	24	6.2	52
8.2	17.8	50.8	4.12	13.2	93	1.6	51
69.0	143.0	77.9	0.97	20.7	37	13.4	159
7.1	17.7	103.9	3.53	-4.7	34	21.1	36
34.2	79.5	118.1	0.23	24.4	76	10.2	97
11.4	20.1	62.9	3.51	24.7	24	19.6	15
5.9	13.1	57.4	4.81	24.4	56	20.9	15
6.5	11.1	13.7	0.95	2.4	41	11.4	0
16.7	38.1	6.5	1.63	6.5	71	14.8	29
7.0	11.5	75.0	2.96	6.1	34	13.3	22
27.7	54.7	12.5	3.69	38.2	36	23.5	35
31.1	71.2	48.7	1.79	-2.0	70	18.1	63
16.7	29.7	5.4	3.35	14.3	64	23.1	9
39.0	91.1	75.8	4.51	34.2	82	5.5	133
21.8	46.7	53.9	3.66	29.6	47	7.8	71
19.1	36.2	19.6	3.58	32.0	78	1.8	72
18.1	34.8	39.1	1.97	38.8	40	12.5	37
19.1	46.3	70.5	4.57	12.4	61	21.8	52
91.0	156.3	80.5	1.46	8.9	88	8.2	200
33.6	73.7	58.2	1.11	-3.6	36	3.2	103
14.5	32.0	97.5	1.88	1.8	87	1.7	66
38.1	92.3	17.9	3.29	20.3	26	11.2	98
15.0	33.2	14.7	4.32	2.1	59	4.1	56
8.4	17.5	10.1	0.75	28.1	59	8.7	8
21.1	50.7	66.6	4.09	-3.3	62	20.5	57
39.8	92.7	86.2	4.08	6.7	92	9.6	121
16.9	37.5	20.0	2.98	26.3	70	15.2	36
55.8	85.5	78.5	3.83	6.5	92	12.6	129
17.2	32.2	59.8	0.99	27.8	42	18.0	21
15.8	33.7	118.5	0.93	39.8	51	3.9	69
163.6	330.8	87.5	4.33	30.9	50	23.0	363
21.5	39.1	80.6	2.54	10.4	36	16.1	47
45.9	75.5	70.6	1.31	35.5	77	6.8	108
45.9	94.2	119.7	3.47	-2.7	54	3.1	151
70.2	125.4	117.8	4.47	27.6	49	3.7	184
7.2	12.5	66.9	3.2	-4.0	83	19.6	14
12.9	24.5	57.3	1.8	2.9	72	14.7	28
41.5	94.8	58.1	2.47	39.4	70	9.5	115
25.7	51.1	54.3	3.79	11.2	56	8.3	68
25.5	43.8	66.1	0.43	31.9	25	21.4	26
9.5	15.4	36.5	1.16	11.9	53	21.9	0
13.3	26.6	111.6	2.37	32.8	75	14.5	42
23.4	53.7	61.4	3.06	38.4	44	13.1	56
13.1	28.2	101.8	1.76	14.6	32	20.4	26
10.9	18.9	59.7	1.56	20.2	82	18.7	9
7.3	14.1	87.6	0.3	23.3	85	10.0	18
9.2	21.7	43.7	0.26	37.1	24	2.1	26
41.6	69.8	76.9	1.47	6.6	94	19.2	76
36.7	74.6	62.3	2.7	22.5	30	4.2	97
6.2	11.5	47.2	2.83	9.6	63	0.4	33
10.7	17.4	106.4	2.52	4.8	88	21.1	24
25.6	39.7	18.0	2.11	-1.2	21	14.5	45
14.7	30.2	61.0	1.34	22.9	59	22.3	16
48.3	73.5	27.4	2.06	34.7	56	12.1	95
43.4	69.6	104.0	0.78	10.8	68	23.2	66
60.5	111.8	34.1	0.66	19.9	94	8.8	117
25.7	39.7	77.8	1.57	23.9	55	18.1	45
15.8	30.0	24.0	4.98	13.7	94	7.5	55
28.3	46.1	51.6	1.7	35.7	92	0.0	84
7.3	13.5	108.4	4.69	11.3	89	9.5	45
5.2	11.9	24.1	2.02	0.6	53	18.4	0
5.4	11.5	81.3	2.25	1.5	77	3.8	39
18.1	35.2	28.5	4.01	35.1	56	12.6	46
11.5	18.3	52.8	0.56	39.5	79	5.3	27
9.3	19.7	67.2	0.99	8.0	31	1.9	34
28.9	48.1	71.4	4.87	1.5	51	15.4	77
137.9	217.4	74.3	2.58	16.7	23	23.8	264
9.9	21.4	78.6	0.32	26.9	52	7.8	25
24.8	59.8	36.3	0.33	22.6	62	14.5	39
8.2	16.1	51.2	4.55	37.8	28	23.8	11
73.0	112.5	9.3	4.38	31.8	70	16.3	136
13.6	32.4	93.4	2.35	34.1	39	16.8	41
57.7	90.4	101.3	0.9	19.4	58	4.5	137
13.3	31.5	27.9	4.17	9.7	42	12.3	43
46.0	87.0	28.2	1.69	26.6	60	9.2	96
10.9	20.3	9.8	2.15	14.8	63	11.8	1
13.7	28.0	116.6	3.44	7.9	54	20.0	43
10.3	25.3	97.8	1.83	1.9	42	11.5	43
12.7	30.5	46.5	3.18	18.8	77	1.6	58
50.0	98.5	60.4	4.44	21.7	67	22.6	102
30.5	67.0	38.6	4.01	20.6	77	13.6	64
18.0	37.4	73.7	1.97	0.2	76	23.1	22
94.0	206.2	87.5	1.51	20.6	58	14.3	218
20.6	48.0	56.4	1.5	2.6	47	1.7	66
92.5	141.9	105.5	1.81	24.9	83	13.8	198
10.5	19.2	64.5	2.52	14.3	81	14.4	23
63.8	156.9	21.6	2.14	33.2	81	5.4	168
5.3	13.0	76.6	0.75	30.0	45	11.8	14
24.7	37.3	58.2	0.9	27.6	70	11.5	53
18.8	32.0	112.6	1.78	26.5	69	15.6	51
23.6	58.9	50.1	2.85	20.2	55	6.5	75
25.2	50.2	51.3	3.0	-2.2	45	14.5	53
17.3	35.9	79.8	2.48	24.5	52	6.0	56
163.0	271.6	65.6	3.72	16.0	87	11.2	346
98.8	236.6	48.1	3.71	16.1	92	3.1	272
86.6	149.9	118.8	2.2	12.1	27	0.9	221
101.7	171.8	39.8	0.71	36.8	85	8.0	204
44.4	76.7	36.9	2.7	6.2	42	6.9	101
116.8	282.6	104.4	1.97	9.2	89	10.2	311
60.7	133.7	5.4	0.78	38.3	74	24.0	101
18.4	41.7	28.1	4.91	31.5	62	13.1	55
43.4	81.5	72.9	1.91	-4.4	40	13.8	86
65.8	158.5	23.7	3.17	35.8	41	23.5	130
36.2	82.9	118.4	2.5	5.2	28	23.0	82
18.7	42.1	58.4	0.8	26.8	53	22.1	26
6.7	16.6	73.7	0.37	19.9	78	2.4	38
46.5	86.8	23.4	3.17	19.2	45	15.9	95
81.3	171.6	38.3	1.31	27.3	20	20.2	151
16.3	39.3	75.7	1.29	4.3	24	20.9	32
9.1	20.8	68.2	4.79	2.2	60	14.4	40
14.9	30.7	95.2	2.36	24.3	82	0.4	68
26.8	42.2	36.0	0.24	8.1	41	24.3	15
14.5	31.2	80.2	1.77	38.8	87	11.8	37
28.6	58.0	38.5	2.96	15.3	67	9.8	69
