rainfall_mm	temperature_c	soil_ph	fertilizer_kg_ha	pesticide_ml_ha	area_hectares	crop_type	yield_tons_ha
712.5	30.5	6.0	65.0	67.7	25.5	Soybean	2.39
598.7	23.2	7.5	126.5	61.8	7.28	Wheat	3.55
729.1	39.5	6.6	166.8	70.6	10.49	Soybean	3.3
946.1	27.1	4.6	34.2	82.9	20.7	Wheat	3.06
756.6	16.1	7.4	186.2	87.8	20.74	Rice	4.13
542.6	18.8	7.4	106.1	64.3	16.22	Soybean	2.15
1189.3	30.8	5.2	184.6	89.0	7.85	Rice	4.78
890.9	37.7	8.3	41.5	53.5	0.72	Maize	1.94
288.0	15.4	5.4	120.9	27.7	48.53	Soybean	1.78
678.8	12.5	6.3	80.8	88.0	47.2	Wheat	2.46
1350.4	36.4	5.0	154.8	54.1	24.44	Soybean	4.46
1181.8	37.5	6.9	121.2	90.6	49.76	Maize	2.83
620.2	18.3	6.0	98.9	4.0	33.85	Maize	1.77
1419.6	21.3	5.9	182.6	39.8	3.91	Wheat	4.48
299.6	29.8	7.8	75.4	94.8	6.33	Soybean	1.83
1449.6	19.9	4.5	44.0	25.0	45.85	Rice	3.39
519.4	36.3	7.7	121.6	94.2	31.69	Maize	2.55
211.8	13.2	6.8	124.8	95.4	42.24	Maize	1.58
764.0	11.1	8.4	87.8	88.2	44.96	Wheat	2.57
666.7	16.3	6.9	97.3	56.4	22.67	Soybean	2.61
900.8	18.6	4.7	191.9	64.7	2.9	Rice	3.83
1235.8	13.4	4.7	146.5	87.0	9.82	Soybean	3.72
1295.2	12.0	8.0	22.1	77.6	3.8	Soybean	2.6
721.6	32.7	7.9	42.4	63.0	9.84	Rice	2.44
758.8	14.9	5.9	195.1	98.2	20.82	Wheat	4.45
392.6	37.4	7.0	145.3	68.6	6.35	Maize	2.49
261.8	21.0	6.5	183.0	97.5	8.75	Wheat	2.88
1033.6	30.1	8.4	60.8	5.7	22.57	Wheat	2.87
283.8	16.8	8.3	148.4	13.9	17.34	Soybean	1.95
1154.0	17.2	8.4	142.8	45.1	23.65	Rice	3.7
900.8	27.2	8.0	58.9	38.5	21.74	Maize	1.98
458.2	26.8	8.1	110.2	78.3	32.4	Soybean	2.63
901.4	33.1	5.4	125.5	16.1	46.89	Maize	2.86
437.9	32.7	7.8	96.2	97.6	5.84	Soybean	2.21
770.4	30.1	7.3	165.4	31.5	5.41	Rice	2.82
1239.4	23.5	8.4	166.6	42.9	42.71	Maize	4.75
800.5	36.7	6.8	170.1	27.5	25.57	Maize	2.55
393.3	28.7	4.8	160.7	57.9	38.44	Wheat	3.23
1141.0	39.7	6.9	97.6	5.9	11.16	Soybean	2.95
442.8	34.6	7.2	76.3	15.0	41.53	Soybean	1.35
1160.1	11.3	5.4	166.3	74.6	46.23	Soybean	4.26
823.2	19.6	6.1	98.0	18.7	31.96	Wheat	2.4
789.9	27.2	6.9	49.3	23.6	5.74	Wheat	2.23
1306.9	31.6	6.0	101.5	79.3	44.82	Maize	4.19
1121.2	26.5	6.0	28.4	9.3	39.73	Soybean	1.64
242.8	33.6	5.0	138.3	43.7	37.67	Soybean	1.87
585.0	18.5	8.3	67.2	2.3	2.32	Maize	1.69
1332.2	15.5	7.5	52.1	34.7	40.05	Maize	2.96
